"lat","lng"
"40.673697431764396","-74.00443196296692"
"40.702716184750756","-73.9373230934143"
"40.72146955011456","-73.98382186889648"
"40.638894071654505","-73.96981000900269"
"40.77233562826339","-73.95871639251709"
"40.71426484896554","-73.9809250831604"
"40.71426484896554","-73.93239855766296"
"40.64324141413044","-73.94876003265381"
"40.65182943263932","-74.00332689285278"
"40.6290260190886","-74.01270389556885"
"40.73008001527785","-73.99284482002258"
"40.73196620071673","-73.92321467399597"
"40.70425341123615","-73.96721363067627"
"40.73196620071673","-73.98815631866455"
"40.77360312549996","-73.98156881332397"
"40.75372663620061","-73.88503074645996"
"40.7452980556364","-73.98684740066528"
"40.66101047064427","-73.94126057624817"
"40.72032303020666","-73.96172046661377"
"40.744761581368095","-73.99515151977539"
"40.72501469240075","-73.99513006210327"
"40.79409909778474","-73.95466089248657"
"40.70601019806111","-74.00880932807922"
"40.6315664492455","-74.03007388114929"
"40.63772170611321","-74.02037501335144"
"40.74256686884439","-74.00780081748962"
"40.72622617709169","-74.01157736778259"
"40.74927270745124","-73.95439267158508"
"40.78049268750496","-73.98398280143738"
"40.765469598025305","-73.970046043396"
"40.64302975232735","-73.9698851108551"
"40.708791682427204","-74.0002691745758"
"40.633317009933165","-73.95393133163452"
"40.61750330385425","-73.99950742721558"
"40.64543940087046","-73.97684812545776"
"40.67416124541509","-73.94731163978577"
"40.62112726955988","-73.98107528686523"
"40.63610966987687","-74.0229070186615"
"40.637127374051005","-73.99710416793823"
"40.76924803380814","-73.97871494293213"
"40.758505337427664","-73.92929792404175"
"40.79875306860038","-73.92984509468079"
"40.78148381569906","-73.95624876022339"
"40.65202478702838","-73.97064685821533"
"40.64146669054014","-73.99975419044495"
"40.619653275767774","-74.02315378189087"
"40.63536877148013","-74.02912974357605"
"40.63715994032842","-74.08655047416687"
"40.756530507647454","-73.99401426315308"
"40.76035821078918","-73.99123549461365"
"40.754222401786734","-73.87944102287292"
"40.73976240856214","-73.89880657196045"
"40.72342102794724","-73.99961471557617"
"40.64017225229114","-73.95712852478027"
"40.76347872286502","-73.88463377952576"
"40.64945257509467","-73.94076704978943"
"40.64494282501042","-73.93645405769348"
"40.76035821078918","-73.8791298866272"
"40.74653355567358","-73.98594617843628"
"40.63216897298747","-74.02451634407043"
"40.72810434130304","-73.97899389266968"
"40.750849497363475","-73.90700340270996"
"40.71184142210444","-73.9543068408966"
"40.75540897325885","-73.97948741912842"
"40.63578400126465","-73.95952105522156"
"40.648255974360325","-73.9713978767395"
"40.6515445397967","-73.9525580406189"
"40.63276334918959","-73.9589524269104"
"40.64696980814955","-73.96437048912048"
"40.646929106282585","-73.94818067550659"
"40.82959260541284","-73.94813776016235"
"40.518562435904386","-74.234619140625"
"40.7666803459999","-73.86988162994385"
"40.76987368953834","-73.9240837097168"
"40.685869436884076","-73.89221906661987"
"40.740071311431365","-73.889901638031"
"40.768021081441674","-73.9702820777893"
"40.768021081441674","-73.90426754951477"
"40.63729834683019","-73.96822214126587"
"40.768021081441674","-73.91383767127991"
"40.663289255970284","-73.96078705787659"
"40.673119694458904","-73.94462943077087"
"40.622145202086585","-74.03469800949097"
"40.708539564363264","-73.96256804466248"
"40.71332151208185","-73.94924283027649"
"40.702350173215336","-73.98470163345337"
