,filename,lat,lng,new_pt,new_lat,new_lng
0,md_speech/-7587090906278307864.mp3,40.79796870000001,-73.9689746,"(40.797601596978886, -73.96892841578455)",40.797601596978886,-73.96892841578455
1,md_speech/-9025958651928105336.mp3,40.5893401,-73.8072093,"(40.59050012821066, -73.80735033376789)",40.59050012821066,-73.80735033376789
2,md_speech/-8531421586846223090.mp3,40.7367107,-73.9920728,"(40.73654623044415, -73.99162251405298)",40.73654623044415,-73.99162251405298
3,md_speech/2385467470514072382.mp3,40.7643732,-73.98398759999998,"(40.76431175915775, -73.98445679600589)",40.76431175915775,-73.98445679600589
4,md_speech/7456918806856235604.mp3,40.7243329,-74.0008182,"(40.72384188678827, -74.00059616091637)",40.72384188678827,-74.00059616091637
5,md_speech/-6588400817491485234.mp3,40.7841152,-73.9709407,"(40.78433213292538, -73.97055475947745)",40.78433213292538,-73.97055475947745
6,md_speech/-2393536325313029174.mp3,40.7139041,-73.99512259999999,"(40.69588211443008, -73.98758170171605)",40.69588211443008,-73.98758170171605
7,md_speech/-8700673311637962919.mp3,40.7361427,-73.9884007,"(40.7358744563729, -73.98853953783464)",40.7358744563729,-73.98853953783464
8,md_speech/-1904281725513744832.mp3,40.7535965,-73.9832325,"(40.737245714224784, -73.95160863990981)",40.737245714224784,-73.95160863990981
9,md_speech/-5154628451710941098.mp3,40.7127752,-74.0059728,"(40.685765290084724, -73.99878767312715)",40.685765290084724,-73.99878767312715
10,md_speech/-8549787511449285571.mp3,40.7345382,-73.9880451,"(40.734751052788965, -73.98818979977452)",40.734751052788965,-73.98818979977452
11,md_speech/-6088070469623666514.mp3,40.7592809,-73.9812105,"(40.75948047570427, -73.98151530019192)",40.75948047570427,-73.98151530019192
12,md_speech/2573572852530031751.mp3,40.79046810000001,-73.9451777,"(40.79030395552716, -73.94508296351252)",40.79030395552716,-73.94508296351252
13,md_speech/-7659554118739687093.mp3,40.7526345,-73.97894079999998,"(40.75273816017551, -73.97941708936833)",40.75273816017551,-73.97941708936833
14,md_speech/5987361823902442340.mp3,40.7334803,-73.99609079999998,"(40.73339601130332, -73.99638894694637)",40.73339601130332,-73.99638894694637
15,md_speech/8254442980054017948.mp3,40.6710672,-73.98142270000002,"(40.67106770551025, -73.98416715266391)",40.67106770551025,-73.98416715266391
16,md_speech/5349872487587186198.mp3,40.74521170000001,-73.98581340000001,"(40.74576551601264, -73.98587058643946)",40.74576551601264,-73.98587058643946
17,md_speech/8283398179348966587.mp3,40.693073999999996,-73.85211140000001,"(40.69343859300889, -73.85190745575859)",40.69343859300889,-73.85190745575859
18,md_speech/-307872300022089842.mp3,40.781219899999996,-73.96651379999999,"(40.79693576910388, -73.95145804200716)",40.79693576910388,-73.95145804200716
19,md_speech/-1778862839950084602.mp3,40.7565689,-73.97117440000002,"(40.75712723526062, -73.97072062272008)",40.75712723526062,-73.97072062272008
20,md_speech/-2291022902938463108.mp3,40.7387915,-73.9987765,"(40.73901297764421, -73.9981387469125)",40.73901297764421,-73.9981387469125
21,md_speech/8938046866757381867.mp3,40.7546118,-73.9873414,"(40.75441846124271, -73.98712709644788)",40.75441846124271,-73.98712709644788
22,md_speech/-8541860175003467239.mp3,40.7772009,-73.9699256,"(40.77679984588889, -73.96965010609854)",40.77679984588889,-73.96965010609854
23,md_speech/4471009603304159805.mp3,40.7785348,-73.9814595,"(40.776905784357936, -73.979749532581)",40.776905784357936,-73.979749532581
24,md_speech/4169539110330748032.mp3,40.7127752,-74.0059728,"(40.685765290084724, -73.99878767312715)",40.685765290084724,-73.99878767312715
25,md_speech/-1891138520456522189.mp3,40.7622274,-73.9878709,"(40.76194854798642, -73.98803413396881)",40.76194854798642,-73.98803413396881
26,md_speech/-3831803612437129066.mp3,41.129536,-73.9837603,"(40.91488111975927, -73.91029041143258)",40.91488111975927,-73.91029041143258
27,md_speech/6547804350536807903.mp3,40.789142,-73.13496090000002,"(40.742381697386605, -73.70759662772335)",40.742381697386605,-73.70759662772335
28,md_speech/5508161657160246218.mp3,40.781294700000004,-73.9739041,"(40.780844705696666, -73.97378455159544)",40.780844705696666,-73.97378455159544
29,md_speech/8136036279571243309.mp3,40.6949747,-73.9949634,"(40.69531484313407, -73.99458350682352)",40.69531484313407,-73.99458350682352
30,md_speech/8006086742463713675.mp3,40.7586487,-73.978852,"(40.75880821482842, -73.97843098693406)",40.75880821482842,-73.97843098693406
31,md_speech/-5385059646906363526.mp3,40.73468,-74.0047553,"(40.693416227160526, -73.98107205672962)",40.693416227160526,-73.98107205672962
32,md_speech/8585404930818080881.mp3,40.738566299999995,-73.96471729999998,"(40.739600047686345, -73.96239762862525)",40.739600047686345,-73.96239762862525
33,md_speech/1666382471850814060.mp3,40.714287299999995,-74.00603290000002,"(40.71462430061932, -74.00634258103888)",40.71462430061932,-74.00634258103888
34,md_speech/3726751718687420698.mp3,40.766146,-73.97847259999998,"(40.76826627779224, -73.9497437006127)",40.76826627779224,-73.9497437006127
35,md_speech/4151943149929910663.mp3,40.7630136,-73.9994774,"(40.804011417174884, -73.96948355269632)",40.804011417174884,-73.96948355269632
36,md_speech/-5957732544044595497.mp3,40.737520399999994,-73.99577099999998,"(40.71016420960614, -73.96187019977779)",40.71016420960614,-73.96187019977779
37,md_speech/2884583005994345750.mp3,40.7178864,-73.9433423,"(40.7178115613594, -73.94413987983631)",40.7178115613594,-73.94413987983631
38,md_speech/-5793045875781549829.mp3,40.7127752,-74.0059728,"(40.685765290084724, -73.99878767312715)",40.685765290084724,-73.99878767312715
39,md_speech/561426651095666037.mp3,40.7510195,-73.99372,"(40.7516036870015, -73.9934376380986)",40.7516036870015,-73.9934376380986
40,md_speech/7485609044958438822.mp3,40.7127752,-74.0059728,"(40.685765290084724, -73.99878767312715)",40.685765290084724,-73.99878767312715
41,md_speech/4354510253148756032.mp3,40.6200194,-74.0681228,"(40.619340249392174, -74.06843469207186)",40.619340249392174,-74.06843469207186
42,md_speech/-357306977727930589.mp3,40.8109548,-73.65016340000003,"(40.75271077720582, -73.7021325205569)",40.75271077720582,-73.7021325205569
43,md_speech/-5449989523991109039.mp3,43.714032,-24.992761399999996,"(40.744055995628656, -73.70092885907516)",40.744055995628656,-73.70092885907516
